5255211,589.39,392.16,2297.70
5255217,9635.97,195.69,1890.55
5255221,97.75,97.75,5458.30
5255227,97.75,2195.61,4170.91
5255231,1688.18,1285.85,589.39
5255237,97.75,195.69,2400.00
5255241,97.75,97.75,97.75
5255245,97.75,6777.89,2708.12
5255251,1285.85,986.19,97.75
5255256,688.30,195.69,2400.00
5255262,97.75,97.75,97.75
5255266,986.19,6444.91,3121.85
5255270,97.75,1185.77,3643.73
5255276,97.75,293.83,1992.03
5255280,97.75,97.75,3959.39
5255286,2195.61,97.75,4489.79
5255290,1992.03,1386.14,3643.73
5255297,7563.03,2400.00,3018.10
5255301,6334.38,7563.03,2708.12
5255307,97.75,97.75,3329.97
5255311,1085.89,986.19,392.16
5255315,1587.31,195.69,4065.04
5255321,97.75,97.75,97.75
5255325,97.75,1992.03,2195.61
5255331,589.39,97.75,2400.00
5255335,1688.18,97.75,4703.47
5255342,97.75,97.75,1688.18
5255346,1587.31,2195.61,4170.91
5255350,490.68,1185.77,3643.73
5255356,986.19,97.75,2605.21
5255360,97.75,97.75,97.75
5255366,97.75,97.75,2708.12
5255370,97.75,1285.85,2605.21
5255376,97.75,97.75,4596.53
5255380,1486.62,97.75,1185.77
5255385,97.75,6889.35,2708.12
5255391,1285.85,97.75,7450.15
5255395,3538.93,1185.77,6004.14
5255401,7789.47,97.75,4489.79
5255405,97.75,97.75,3538.93
5255411,986.19,886.70,5567.01
5255415,787.40,2297.70,3434.35
5255421,97.75,97.75,2400.00
5255426,1085.89,1386.14,3329.97
5255430,787.40,97.75,3225.80
5255436,97.75,97.75,3225.80
5255440,2297.70,787.40,2708.12
5255446,97.75,1486.62,3225.80
5255450,97.75,1085.89,2502.50
5255456,97.75,97.75,3121.85
5255460,490.68,97.75,7789.47
5255464,97.75,97.75,5458.30
5255471,1688.18,1285.85,10583.15
5255475,3329.97,589.39,6113.99
5255481,97.75,5567.01,97.75
5255485,2914.57,97.75,2297.70
5255491,293.83,986.19,3225.80
5255495,97.75,2297.70,2811.24
5255501,5567.01,97.75,4065.04
5255505,4810.64,97.75,4489.79
5255510,886.70,886.70,1992.03
5255516,2297.70,97.75,2708.12
5255520,6224.07,2093.72,8130.94
5255526,1992.03,1285.85,1587.31
5255530,986.19,1386.14,5894.52
5255536,3225.80,97.75,5349.79
5255540,97.75,97.75,2708.12
5255546,195.69,293.83,2093.72
5255550,97.75,97.75,97.75
5255555,5241.53,490.68,1688.18
5255561,97.75,2502.50,2297.70
5255565,8245.24,1688.18,3121.85
